dc_id,sku_id,mean_sale
DC007,SKU053,18.0
DC007,SKU054,8.75
DC007,SKU055,0.0
DC007,SKU056,0.0
DC007,SKU057,0.0
DC007,SKU058,7.25
DC007,SKU059,0.0
DC007,SKU060,0.0
DC007,SKU061,0.0
DC007,SKU062,139.0
DC007,SKU063,1949.25
DC007,SKU064,927.0
DC007,SKU065,320.0
DC007,SKU066,0.0
DC007,SKU067,0.0
DC007,SKU068,0.0
DC007,SKU069,0.0
DC007,SKU070,0.0
DC007,SKU071,0.0
DC007,SKU072,18.0
DC007,SKU073,0.0
DC007,SKU074,17.25
DC007,SKU075,0.0
DC007,SKU076,0.0
DC007,SKU077,0.5
DC007,SKU078,2.0
DC007,SKU079,126.75
DC007,SKU080,0.0
DC007,SKU081,0.0
DC007,SKU082,0.0
DC007,SKU083,220.25
DC007,SKU084,74.75
DC007,SKU085,2.0
DC007,SKU086,0.0
DC007,SKU087,0.0
DC007,SKU088,0.0
DC007,SKU089,0.0
DC007,SKU090,0.0
DC007,SKU091,8.25
DC007,SKU092,25.0
DC007,SKU093,0.0
DC007,SKU094,0.0
DC007,SKU095,0.0
DC007,SKU096,0.0
DC007,SKU097,3.5
DC007,SKU098,3.0
DC007,SKU099,62.25
DC007,SKU100,70.5
DC007,SKU101,14.0
DC007,SKU102,0.0
DC007,SKU103,0.0
DC007,SKU104,0.0
DC008,SKU001,0.0
DC008,SKU002,0.0
DC008,SKU003,0.0
DC008,SKU004,0.0
DC008,SKU005,0.0
DC008,SKU006,0.0
DC008,SKU007,25.25
DC008,SKU008,238.25
DC008,SKU009,0.0
DC008,SKU010,82.0
DC008,SKU011,0.0
DC008,SKU012,0.0
DC008,SKU013,10.0
DC008,SKU014,0.0
DC008,SKU015,0.0
DC008,SKU016,0.0
DC008,SKU017,0.0
DC008,SKU018,0.0
DC008,SKU019,1.5
DC008,SKU020,4.0
DC008,SKU021,2.25
DC008,SKU022,0.0
DC008,SKU023,0.0
DC008,SKU024,0.0
DC008,SKU025,0.0
DC008,SKU026,0.0
DC008,SKU027,0.0
DC008,SKU028,0.0
DC008,SKU029,12.0
DC008,SKU030,24.25
DC008,SKU031,0.0
DC008,SKU032,0.0
DC008,SKU033,468.75
DC008,SKU034,0.0
DC008,SKU035,9.5
DC008,SKU036,82.5
DC008,SKU037,181.75
DC008,SKU038,1222.5
DC008,SKU039,0.0
DC008,SKU040,74.75
DC008,SKU041,0.0
DC008,SKU042,17.0
DC008,SKU043,0.0
DC008,SKU044,335.25
DC008,SKU045,4.0
DC008,SKU046,0.0
DC008,SKU047,61.5
DC008,SKU048,0.0
DC008,SKU049,29.75
DC008,SKU050,0.0
DC008,SKU051,0.0
DC008,SKU052,0.0
DC008,SKU053,0.0
DC008,SKU054,9.0
DC008,SKU055,0.0
DC008,SKU056,0.0
DC008,SKU057,0.0
DC008,SKU058,1.75
DC008,SKU059,0.0
DC008,SKU060,1.0
DC008,SKU061,0.0
DC008,SKU062,32.5
DC008,SKU063,815.75
DC008,SKU064,398.25
DC008,SKU065,43.25
DC008,SKU066,2.75
DC008,SKU067,0.0
DC008,SKU068,0.0
DC008,SKU069,0.0
DC008,SKU070,0.0
DC008,SKU071,0.0
DC008,SKU072,25.0
DC008,SKU073,0.0
DC008,SKU074,13.0
DC008,SKU075,0.0
DC008,SKU076,0.0
DC008,SKU077,0.25
DC008,SKU078,2.0
DC008,SKU079,47.0
DC008,SKU080,0.0
DC008,SKU081,0.0
DC008,SKU082,0.0
DC008,SKU083,91.75
DC008,SKU084,13.0
DC008,SKU085,2.75
DC008,SKU086,0.0
DC008,SKU087,0.0
DC008,SKU088,0.0
DC008,SKU089,0.0
DC008,SKU090,0.0
DC008,SKU091,3.0
DC008,SKU092,11.0
DC008,SKU093,0.0
DC008,SKU094,0.0
DC008,SKU095,0.0
DC008,SKU096,0.0
DC008,SKU097,12.0
DC008,SKU098,0.5
DC008,SKU099,22.25
DC008,SKU100,38.0
DC008,SKU101,2.5
DC008,SKU102,0.0
DC008,SKU103,0.0
DC008,SKU104,0.0
DC009,SKU001,0.0
DC009,SKU002,0.0
DC009,SKU003,0.0
DC009,SKU004,0.0
DC009,SKU005,0.0
DC009,SKU006,0.0
DC009,SKU007,7.0
DC009,SKU008,72.75
DC009,SKU009,0.0
DC009,SKU010,4.75
DC009,SKU011,0.0
DC009,SKU012,12.25
DC009,SKU013,5.5
DC009,SKU014,0.0
DC009,SKU015,0.0
DC009,SKU016,0.0
DC009,SKU017,0.0
DC009,SKU018,0.0
DC009,SKU019,0.0
DC009,SKU020,3.0
DC009,SKU021,3.0
DC009,SKU022,0.0
DC009,SKU023,0.0
DC009,SKU024,0.0
DC009,SKU025,0.0
DC009,SKU026,0.0
DC009,SKU027,0.0
DC009,SKU028,0.0
DC009,SKU029,0.75
DC009,SKU030,4.5
DC009,SKU031,0.0
DC009,SKU032,0.0
DC009,SKU033,138.0
DC009,SKU034,0.0
DC009,SKU035,5.5
DC009,SKU036,22.25
DC009,SKU037,80.0
DC009,SKU038,564.75
DC009,SKU039,0.0
DC009,SKU040,6.25
DC009,SKU041,3.0
DC009,SKU042,0.0
DC009,SKU043,0.0
DC009,SKU044,56.75
DC009,SKU045,0.75
DC009,SKU046,0.0
DC009,SKU047,15.0
DC009,SKU048,0.0
DC009,SKU049,7.75
DC009,SKU050,0.0
DC009,SKU051,0.0
DC009,SKU052,0.0
DC009,SKU053,0.0
DC009,SKU054,3.0
DC009,SKU055,0.0
DC009,SKU056,0.0
DC009,SKU057,0.0
DC009,SKU058,0.5
DC009,SKU059,0.0
DC009,SKU060,0.0
DC009,SKU061,0.0
DC009,SKU062,14.5
DC009,SKU063,347.0
DC009,SKU064,157.0
DC009,SKU065,22.25
DC009,SKU066,3.0
DC009,SKU067,0.0
DC009,SKU068,0.0
DC009,SKU069,0.0
DC009,SKU070,0.0
DC009,SKU071,0.0
DC009,SKU072,1.5
DC009,SKU073,0.0
DC009,SKU074,3.0
DC009,SKU075,0.0
DC009,SKU076,0.0
DC009,SKU077,4.0
DC009,SKU078,0.0
DC009,SKU079,0.0
DC009,SKU080,0.0
DC009,SKU081,0.0
DC009,SKU082,0.0
DC009,SKU083,37.0
DC009,SKU084,7.25
DC009,SKU085,0.0
DC009,SKU086,0.0
DC009,SKU087,0.0
DC009,SKU088,0.0
DC009,SKU089,0.0
DC009,SKU090,0.0
DC009,SKU091,4.25
DC009,SKU092,5.25
DC009,SKU093,0.0
DC009,SKU094,0.0
DC009,SKU095,0.0
DC009,SKU096,0.0
DC009,SKU097,0.0
DC009,SKU098,0.0
DC009,SKU099,12.5
DC009,SKU100,4.75
DC009,SKU101,2.75
DC009,SKU102,0.75
DC009,SKU103,0.0
DC009,SKU104,0.0
DC010,SKU001,0.0
DC010,SKU002,0.0
DC010,SKU003,0.0
DC010,SKU004,0.0
DC010,SKU005,0.0
DC010,SKU006,0.0
DC010,SKU007,273.25
DC010,SKU008,677.75
DC010,SKU009,0.0
DC010,SKU010,805.5
DC010,SKU011,0.0
DC010,SKU012,275.0
DC010,SKU013,45.0
DC010,SKU014,0.0
DC010,SKU015,0.0
DC010,SKU016,0.0
DC010,SKU017,0.0
DC010,SKU018,0.0
DC010,SKU019,27.0
DC010,SKU020,25.0
DC010,SKU021,81.25
DC010,SKU022,0.0
DC010,SKU023,0.0
DC010,SKU024,0.0
DC010,SKU025,0.0
DC010,SKU026,0.0
DC010,SKU027,33.0
DC010,SKU028,0.0
DC010,SKU029,30.75
DC010,SKU030,205.75
DC010,SKU031,160.75
DC010,SKU032,0.0
DC010,SKU033,124.5
DC010,SKU034,0.0
DC010,SKU035,42.5
DC010,SKU036,816.0
DC010,SKU037,555.75
DC010,SKU038,3605.0
DC010,SKU039,67.75
DC010,SKU040,957.25
DC010,SKU041,325.0
DC010,SKU042,0.0
DC010,SKU043,0.0
DC010,SKU044,1660.75
DC010,SKU045,59.25
DC010,SKU046,33.0
DC010,SKU047,142.0
DC010,SKU048,39.25
DC010,SKU049,148.25
DC010,SKU050,0.0
DC010,SKU051,0.0
DC010,SKU052,0.0
DC010,SKU053,2.0
DC010,SKU054,64.0
DC010,SKU055,3.5
DC010,SKU056,0.0
DC010,SKU057,0.0
DC010,SKU058,24.5
DC010,SKU059,0.0
DC010,SKU060,15.5
