dc_id,sku_id,target_doi
DC005,SKU048,3.0
DC005,SKU049,4.257875226079511
DC005,SKU050,3.0
DC005,SKU051,9.26653374785372
DC005,SKU052,3.0
DC005,SKU053,2.5233573514295142
DC005,SKU054,5.708330393989423
DC005,SKU055,3.0
DC005,SKU056,3.0
DC005,SKU057,3.0
DC005,SKU058,8.378664531174033
DC005,SKU059,3.0
DC005,SKU060,3.807937980689829
DC005,SKU061,3.0
DC005,SKU062,4.1071129298053695
DC005,SKU063,4.078813083548413
DC005,SKU064,2.9545183270547217
DC005,SKU065,3.502670547302528
DC005,SKU066,8.2181334706844
DC005,SKU067,3.0
DC005,SKU068,34.16180811441943
DC005,SKU069,3.0
DC005,SKU070,5.641379893756446
DC005,SKU071,3.0
DC005,SKU072,5.144545316889048
DC005,SKU073,3.0
DC005,SKU074,5.002318027353722
DC005,SKU075,3.0
DC005,SKU076,6.545935751269687
DC005,SKU077,3.0
DC005,SKU078,3.0
DC005,SKU079,3.380720117152108
DC005,SKU080,3.0
DC005,SKU081,3.0
DC005,SKU082,3.0
DC005,SKU083,3.4700825022325805
DC005,SKU084,4.900482156556617
DC005,SKU085,4.075291079880066
DC005,SKU086,3.0
DC005,SKU087,3.0
DC005,SKU088,3.0
DC005,SKU089,3.0
DC005,SKU090,3.0
DC005,SKU091,3.0
DC005,SKU092,3.0
DC005,SKU093,3.0
DC005,SKU094,3.0
DC005,SKU095,3.0
DC005,SKU096,3.0
DC005,SKU097,11.194573001798206
DC005,SKU098,3.930457612495005
DC005,SKU099,6.350849467317036
DC005,SKU100,3.985360183644992
DC005,SKU101,16.112995959346485
DC005,SKU102,3.8399779450269698
DC005,SKU103,3.0
DC005,SKU104,3.0
DC006,SKU001,3.0
DC006,SKU002,3.0
DC006,SKU003,3.0
DC006,SKU004,3.0
DC006,SKU005,3.0
DC006,SKU006,3.0
DC006,SKU007,7.1056881770171305
DC006,SKU008,3.2882388666513744
DC006,SKU009,3.0
DC006,SKU010,4.533075037603837
DC006,SKU011,3.0
DC006,SKU012,7.571432877779671
DC006,SKU013,5.247641758251214
DC006,SKU014,3.0
DC006,SKU015,3.0
DC006,SKU016,3.0
DC006,SKU017,3.0
DC006,SKU018,3.0
DC006,SKU019,4.388538863511967
DC006,SKU020,3.0
DC006,SKU021,4.299821111115295
DC006,SKU022,3.0
DC006,SKU023,3.0
DC006,SKU024,3.0
DC006,SKU025,3.0
DC006,SKU026,3.0
DC006,SKU027,2.760221612025423
DC006,SKU028,3.0
DC006,SKU029,5.015947357798031
DC006,SKU030,4.362053360025072
DC006,SKU031,7.878277666462386
DC006,SKU032,3.0
DC006,SKU033,19.864236709260403
DC006,SKU034,3.0
DC006,SKU035,7.455171481230197
DC006,SKU036,4.40099142465443
DC006,SKU037,3.605009830075218
DC006,SKU038,3.244592909117666
DC006,SKU039,7.800299963372242
DC006,SKU040,3.160403971131421
DC006,SKU041,4.520605911612552
DC006,SKU042,3.0
DC006,SKU043,3.0
DC006,SKU044,3.4634956556604672
DC006,SKU045,3.550774265850434
DC006,SKU046,4.654770280892632
DC006,SKU047,4.165827981589807
DC006,SKU048,3.0
DC006,SKU049,3.950422867839566
DC006,SKU050,3.0
DC006,SKU051,5.499836053210346
DC006,SKU052,3.0
DC006,SKU053,4.659029005343753
DC006,SKU054,5.30703944041555
DC006,SKU055,3.0
DC006,SKU056,3.0
DC006,SKU057,3.0
DC006,SKU058,5.381188318972485
DC006,SKU059,3.0
DC006,SKU060,3.0
DC006,SKU061,3.0
DC006,SKU062,2.934811483494116
DC006,SKU063,3.390985621001797
DC006,SKU064,3.003667240616448
DC006,SKU065,3.524768920738844
DC006,SKU066,9.424497926934563
DC006,SKU067,4.202331934577048
DC006,SKU068,6.572758134457252
DC006,SKU069,3.0
DC006,SKU070,10.235892626754902
DC006,SKU071,3.0
DC006,SKU072,5.052956121995634
DC006,SKU073,10.381691065382435
DC006,SKU074,4.964038636973758
DC006,SKU075,63.29722391184091
DC006,SKU076,16.355967064561593
DC006,SKU077,3.0
DC006,SKU078,5.041135245975887
DC006,SKU079,4.071157041245971
DC006,SKU080,3.0
DC006,SKU081,3.0
DC006,SKU082,3.0
DC006,SKU083,3.324867442367191
DC006,SKU084,3.957196925043779
DC006,SKU085,4.942542334645617
DC006,SKU086,3.0
DC006,SKU087,3.0
DC006,SKU088,3.0
DC006,SKU089,3.0
DC006,SKU090,3.0
DC006,SKU091,2.557940349277001
DC006,SKU092,3.0
DC006,SKU093,3.0
DC006,SKU094,3.0
DC006,SKU095,3.0
DC006,SKU096,3.0
DC006,SKU097,7.827145434508101
DC006,SKU098,2.5420869314025323
DC006,SKU099,3.7872343958226495
DC006,SKU100,4.10038427358544
DC006,SKU101,5.284186115733518
DC006,SKU102,3.0
DC006,SKU103,3.0
DC006,SKU104,3.0
DC007,SKU001,3.0
DC007,SKU002,3.0
DC007,SKU003,3.0
DC007,SKU004,3.0
DC007,SKU005,3.0
DC007,SKU006,3.0
